rule_id,test_id,priority,module,entrypoint_job,service,postgres_target,test_level,test_file,test_title,source_scenario,expected,spec_status,implementation_status
LOT-GOV-001,TST-GOV-001,P0,platform / authorization,Todos los comandos y consultas sensibles,AuthorizationPolicy + servicios de dominio,"sessions, roles, permissions y lectura autoritativa del recurso; el body no controla role, mode, balance ni status",API-E2E + PG,apps/api/test/postgres/rules/gov/lot-gov-001.pg-spec.ts,"[LOT-GOV-001] Alterar rol, saldo, hora o estado desde web/móvil y enviar la petición.","Alterar rol, saldo, hora o estado desde web/móvil y enviar la petición.",La API ignora los datos manipulados y responde con el estado autoritativo o un error de dominio.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-GOV-002,TST-GOV-002,P0,platform / persistence,Reinicio API/worker + reconciliación,LedgerReconciliationService,"ledger_transactions, ledger_entries, wallet_balance_projections, tickets, draw_results, scheduled_jobs",WORKER-PG + RESILIENCIA,apps/worker/test/rules/gov/lot-gov-002.e2e-spec.ts,[LOT-GOV-002] Vaciar Redis y reiniciar API/worker después de operaciones confirmadas.,Vaciar Redis y reiniciar API/worker después de operaciones confirmadas.,"Saldos, boletos, solicitudes, resultados y pagos permanecen íntegros y reconstruibles.",DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-GOV-003,TST-GOV-003,P0,platform / idempotency,Repetición paralela de comando crítico,IdempotencyService,"idempotency_keys, request_hash, UNIQUE de efectos de negocio y transacción SQL",PG-CONCURRENCY + API-E2E,apps/api/test/postgres/concurrency/lot-gov-003.pg-spec.ts,[LOT-GOV-003] Enviar la misma petición en paralelo y repetirla después de un timeout.,Enviar la misma petición en paralelo y repetirla después de un timeout.,Existe un único efecto económico y todas las respuestas posteriores refieren al mismo resultado.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-GOV-004,TST-GOV-004,P0,platform / history,UPDATE/DELETE directo + comando compensatorio,ImmutabilityPolicy,"triggers/permisos sobre ledger, tickets, snapshots, results, reports y audit_events",PG-INTEGRATION,apps/api/test/postgres/rules/gov/lot-gov-004.pg-spec.ts,"[LOT-GOV-004] Intentar editar un asiento confirmado, boleto pagado o resultado fijado.","Intentar editar un asiento confirmado, boleto pagado o resultado fijado.",La modificación directa se rechaza; solo se permite una corrección trazable separada.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-GOV-005,TST-GOV-005,P0,platform / time,Comandos con reloj del dispositivo manipulado,ServerClockPolicy,"TIMESTAMPTZ, NOW()/clock_timestamp(), checks de apertura/cierre/expiración",API-E2E + PG,apps/api/test/postgres/rules/gov/lot-gov-005.pg-spec.ts,[LOT-GOV-005] Cambiar la hora del dispositivo durante una reserva o cierre.,Cambiar la hora del dispositivo durante una reserva o cierre.,La expiración y el cierre no cambian por la hora local manipulada.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-GOV-006,TST-GOV-006,P0,packages/money,Suite de precisión monetaria,MoneyValue + LedgerMath,BIGINT para *_minor; inspección del esquema sin float/double,UNIT-PROPERTY + SCHEMA,packages/money/src/__tests__/rules/lot-gov-006.spec.ts,[LOT-GOV-006] Procesar muchas operaciones con fracciones y comparar libro contra proyección.,Procesar muchas operaciones con fracciones y comparar libro contra proyección.,No aparecen errores acumulativos de punto flotante y el balance exacto se conserva.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-GOV-007,TST-GOV-007,P0,lottery-rules,Actualizar versión ya utilizada,RuleVersionService,"rule_versions, prize_rule_versions y FKs históricas desde eventos/boletos",PG-INTEGRATION,apps/api/test/postgres/rules/gov/lot-gov-007.pg-spec.ts,[LOT-GOV-007] Modificar una versión ligada a boletos y consultar un evento anterior.,Modificar una versión ligada a boletos y consultar un evento anterior.,La edición se rechaza o crea una versión nueva; el evento histórico conserva la original.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-GOV-008,TST-GOV-008,P1,platform / environment,Arranque en entorno académico y flujos simulados,EnvironmentPolicy,system_settings/provider_type=SIMULATED; ausencia de credenciales o entidades de tarjeta,CONFIG-E2E,scripts/tests/rules/lot-gov-008.spec.mjs,[LOT-GOV-008] Ejecutar el entorno local y revisar flujos de pago/retiro.,Ejecutar el entorno local y revisar flujos de pago/retiro.,El sistema identifica el modo simulado y no procesa tarjetas ni retiros reales.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-IAM-001,TST-IAM-001,P0,identity + user-draws,Command: CreateUserDraw,UserDrawCreationService,roles sin ORGANIZADOR; user_draws.organizer_user_id FK users,API-E2E + PG,apps/api/test/postgres/rules/iam/lot-iam-001.pg-spec.ts,[LOT-IAM-001] Crear un sorteo de usuario con una cuenta activa sin rol global adicional.,Crear un sorteo de usuario con una cuenta activa sin rol global adicional.,La cuenta queda como organizadora de ese sorteo sin recibir privilegios de Administrador.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-IAM-002,TST-IAM-002,P0,auth / authorization,Command: ChangeActiveMode + comando protegido,SessionModeService + AuthorizationService,"sessions.active_mode, user_roles, role_permissions, user_permission_grants",API-E2E + PG,apps/api/test/postgres/rules/iam/lot-iam-002.pg-spec.ts,[LOT-IAM-002] Iniciar como Vendedor y llamar un endpoint de compra de boletos.,Iniciar como Vendedor y llamar un endpoint de compra de boletos.,La compra se rechaza aunque la cuenta también tenga operaciones de wallet.,DISEÑADA,PENDIENTE_IMPLEMENTACION
